embed_dim,hidden_dims,lr,config,metric,mean,sd,ci
16,4,0.0001,embeddim16_hiddendims4_lr1e-4,best_epoch,299.0,0.0,0.0
16,4,0.0001,embeddim16_hiddendims4_lr1e-4,loss,0.5712636590003968,0.032825332157527,0.04075803316908163
16,4,0.0001,embeddim16_hiddendims4_lr1e-4,mae,0.5611779808998107,0.012484977339664182,0.015502146881050867
16,4,0.0001,embeddim16_hiddendims4_lr1e-4,mse,0.6917143702507019,0.03233824887159823,0.040153239388817104
16,4,0.0001,embeddim16_hiddendims4_lr1e-4,num_epochs,299.0,0.0,0.0
16,4,0.0001,embeddim16_hiddendims4_lr1e-4,r2,0.8193430185317994,0.007622590845726617,0.009464696626176355
16,4,0.0001,embeddim16_hiddendims4_lr1e-4,rmse,0.8315097689628601,0.019554020068378673,0.02427952273905975
16,4,0.0001,embeddim16_hiddendims4_lr1e-4,time,153.39131753630937,1.1988153782274793,1.4885258956380902
16,4,0.0005,embeddim16_hiddendims4_lr5e-4,best_epoch,254.6,53.83586165373412,66.84605122772035
16,4,0.0005,embeddim16_hiddendims4_lr5e-4,loss,0.2752118051052094,0.04611365386236888,0.05725766382653351
16,4,0.0005,embeddim16_hiddendims4_lr5e-4,mae,0.5344062447547913,0.020275706130883676,0.02517561434087766
16,4,0.0005,embeddim16_hiddendims4_lr5e-4,mse,0.6370179772377014,0.04402997225311484,0.054670431388603495
16,4,0.0005,embeddim16_hiddendims4_lr5e-4,num_epochs,277.4,30.113120064184645,37.39037705728557
16,4,0.0005,embeddim16_hiddendims4_lr5e-4,r2,0.8336906909942627,0.009708236289035303,0.01205436748615046
16,4,0.0005,embeddim16_hiddendims4_lr5e-4,rmse,0.7977577567100524,0.02739861248063923,0.03401987071794615
16,4,0.0005,embeddim16_hiddendims4_lr5e-4,time,142.01177205219864,15.70811862709014,19.5042053787718
16,4,0.001,embeddim16_hiddendims4_lr1e-3,best_epoch,221.4,45.13092066421868,56.03743939455074
16,4,0.001,embeddim16_hiddendims4_lr1e-3,loss,0.20458578467369076,0.04146562537311835,0.05148637418880567
16,4,0.001,embeddim16_hiddendims4_lr1e-3,mae,0.5297653794288635,0.01851240766647168,0.022986190119529293
16,4,0.001,embeddim16_hiddendims4_lr1e-3,mse,0.6299168705940247,0.04566522250029902,0.05670086274858588
16,4,0.001,embeddim16_hiddendims4_lr1e-3,num_epochs,262.6,30.021658848238218,37.27681295821295
16,4,0.001,embeddim16_hiddendims4_lr1e-3,r2,0.8355121850967407,0.010979589902095618,0.013632961496473753
16,4,0.001,embeddim16_hiddendims4_lr1e-3,rmse,0.7932535648345947,0.02884573393952184,0.03581670933446877
16,4,0.001,embeddim16_hiddendims4_lr1e-3,time,133.3437695622444,15.982758547608737,19.84521588054929
16,4,0.005,embeddim16_hiddendims4_lr5e-3,best_epoch,196.4,71.64356216716195,88.95723184603843
16,4,0.005,embeddim16_hiddendims4_lr5e-3,loss,0.07187521867454046,0.02150515101055777,0.02670217178574493
16,4,0.005,embeddim16_hiddendims4_lr5e-3,mae,0.5109670579433441,0.01797044040657813,0.022313248884714327
16,4,0.005,embeddim16_hiddendims4_lr5e-3,mse,0.5931638836860657,0.04649909683610348,0.05773625449038037
16,4,0.005,embeddim16_hiddendims4_lr5e-3,num_epochs,214.6,64.01015544427307,79.47910553458068
