pooling_class,num_heads,aggregate,config,metric,mean,sd,ci
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,loss_cl,1.255550354719162,0.43462973826333423,0.16229341148509574
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,mae_ae,0.5624217291673025,0.03529462471083388,0.013179229461599445
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,mse_ae,0.8161319732666016,0.04742235135034518,0.017707797013717656
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,nb_ae,8.000505129496256,0.2102113518126785,0.07849420878307013
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,num_epochs_ae,223.46666666666667,62.57449812896588,23.365701605914097
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,num_epochs_cl,125.53333333333333,23.66538769411234,8.836800993741166
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,precision_cl,0.6475266277790069,0.04587767130954871,0.017131004007156496
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,r2_ae,0.7871454795201619,0.011578078965575129,0.004323325737615623
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,recall_cl,0.677015507221222,0.05806708095671181,0.02168260437286558
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,rmse_ae,0.9030405044555664,0.02592734913717377,0.009681431277690512
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,time_ae,63.325501377383866,18.255012219316683,6.81653358928695
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,time_cl,34.589460017656286,6.361350324142528,2.3753672491029483
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,accuracy_cl,0.6672380924224853,0.03640983792946613,0.013595656921230482
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,auroc_cl,0.88418324192365,0.022166719554123783,0.008277189113305605
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,best_epoch_ae,184.53333333333333,38.49561849974827,14.374500186104642
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,best_epoch_cl,77.8,22.273224996038138,8.316958898914544
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,f1_cl,0.6067024131615957,0.04506960593856623,0.016829267438729936
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,loss_ae,7.936986446380615,0.09027616837587424,0.03370967527455894
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,loss_cl,1.2837217032909394,0.4543051353538705,0.16964032550185443
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,mae_ae,0.5569285968939464,0.011767315180028897,0.004393987701389538
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,mse_ae,0.8227381428082784,0.030937308496057254,0.011552180847206283
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,nb_ae,7.934772809346517,0.10820806165766564,0.040405554269671205
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,num_epochs_ae,208.8,41.5952583504584,15.531924728099767
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,num_epochs_cl,117.1,19.735055454523135,7.369190815980352
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,precision_cl,0.5996020634969076,0.04612722595475955,0.017224189243134725
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,r2_ae,0.7854137380917867,0.00708695771092313,0.0026463135002038306
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,recall_cl,0.6409282843271892,0.04874669174712515,0.018202313845031952
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,rmse_ae,0.9068950215975443,0.01700583560064414,0.006350083373979887
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,time_ae,57.46715326619645,11.997746490781097,4.480032166925621
MultiheadSetPooling,8,mean,mh_numheads8_aggregateMean,time_cl,31.33849715081354,5.518421417744179,2.0606124226030103
AttentionSetPooling,0,none,as_config,accuracy_cl,0.6617142856121063,0.03818250081206894,0.014257580119997676
AttentionSetPooling,0,none,as_config,auroc_cl,0.878019106388092,0.028059012825241002,0.010477407580319223
AttentionSetPooling,0,none,as_config,best_epoch_ae,196.26666666666668,44.102492957399484,16.468141516623852
AttentionSetPooling,0,none,as_config,best_epoch_cl,69.63333333333334,25.652160402845865,9.578674115525779
AttentionSetPooling,0,none,as_config,f1_cl,0.6052712142467499,0.052249363993936856,0.019510233157043717
AttentionSetPooling,0,none,as_config,loss_ae,7.942345293362935,0.09805823535940193,0.03661554684287075
AttentionSetPooling,0,none,as_config,loss_cl,1.2585174570480981,0.41728337683315225,0.15581617367664174
AttentionSetPooling,0,none,as_config,mae_ae,0.5596987863381704,0.013284800860048867,0.00496062616675153
AttentionSetPooling,0,none,as_config,mse_ae,0.8266527195771535,0.03298807027744922,0.012317947881407014
AttentionSetPooling,0,none,as_config,nb_ae,7.934376128514608,0.09725337410117901,0.03631500670981145
AttentionSetPooling,0,none,as_config,num_epochs_ae,211.0,44.18534629926767,16.499079462928346
AttentionSetPooling,0,none,as_config,num_epochs_cl,112.66666666666667,23.08654382420908,8.620657140494481
AttentionSetPooling,0,none,as_config,precision_cl,0.5945048441489538,0.0533990229198635,0.019939522855163466
AttentionSetPooling,0,none,as_config,r2_ae,0.7843665917714436,0.00841843126920664,0.0031434938977980354
AttentionSetPooling,0,none,as_config,recall_cl,0.6408281266689301,0.0534702672920867,0.019966125940961085
AttentionSetPooling,0,none,as_config,rmse_ae,0.909031218290329,0.01805082414100521,0.0067402885077926045
AttentionSetPooling,0,none,as_config,time_ae,55.65710480498771,11.628857708519881,4.342286831848059
AttentionSetPooling,0,none,as_config,time_cl,29.57186033986509,6.1253018434254445,2.2872252978307634
