label,global,basal,her2,lumA,lumB,norm
path:hsa05202,0.0010240003,0.00040694288,0.0005408506,0.0010935261,0.00058898143,0.0029036247
path:hsa04720,0.0010198483,0.00044172513,0.0004985233,0.0010694136,0.0005584918,0.0030088797
path:hsa00640,0.0010195485,0.00038827455,0.00047549338,0.001042746,0.0006089051,0.0031571737
path:hsa00340,0.0010191201,0.0003633579,0.00046768898,0.001072654,0.0005707147,0.0031213467
path:hsa04740,0.0010171552,0.0004599858,0.00049912237,0.0010202018,0.00054704025,0.0032185349
path:hsa05032,0.0010169027,0.0004412941,0.0004707646,0.001059662,0.0005162366,0.0031266506
path:hsa04213,0.0010088445,0.00042607647,0.00040540053,0.0010585178,0.0005414799,0.0030761333
path:hsa04550,0.0010031514,0.00041048447,0.0003651246,0.0011174052,0.00041363743,0.003012385
path:hsa05224,0.0009948655,0.0004110245,0.00039723888,0.0010638785,0.00046693615,0.003074087
path:hsa04152,0.0009855166,0.0004129572,0.0004258656,0.0010174043,0.00052307337,0.0030839997
path:hsa04913,0.000983592,0.0003717255,0.00039031662,0.0010309747,0.0005049045,0.0031267512
path:hsa04613,0.0009823658,0.0005288481,0.00051365467,0.0009758061,0.0006019446,0.0028498904
path:hsa04148,0.00096770335,0.0004173864,0.0004825991,0.0009895124,0.0005253924,0.0029870025
path:hsa00670,0.0009676946,0.0004202004,0.00043120436,0.0010209962,0.0005361121,0.00284037
path:hsa04910,0.00096368016,0.00040741148,0.00044358277,0.0009984367,0.00048087328,0.0030282172
path:hsa04330,0.00093925424,0.00038275236,0.00042815742,0.000997639,0.0004563769,0.0028784077
path:hsa04930,0.0009259987,0.00033943396,0.00037846173,0.000992301,0.00045488664,0.0028822292
