labels,global,basal,her2,lumA,lumB,norm
ACACB,0.0008733458,0.00085314515,0.0008741806,0.0008888017,0.0008944178,0.00079088437
CACNA1C,0.00087222917,0.00090201147,0.0008833794,0.0008539915,0.00088887353,0.00087358756
BCL2L1,0.0008647567,0.0008639114,0.00085565133,0.0008711678,0.00084007735,0.0008860885
HGF,0.00085079425,0.00092185347,0.0008987963,0.00083056296,0.0008481404,0.00079921936
GNG7,0.00085063284,0.0008426781,0.00085891486,0.0008523571,0.0008659347,0.0008214744
TRAF2,0.0008473759,0.0008680201,0.00084642955,0.0008443722,0.00084579585,0.0008301722
LOC105372824,0.0008472252,0.0006512275,0.00078280346,0.00089820445,0.0009285285,0.0008276782
ACAT2,0.0008472083,0.0008125887,0.00084150786,0.0008714326,0.0007844812,0.00090531074
MAP3K5,0.00083494384,0.00080164644,0.0007742157,0.0008626131,0.0008722964,0.0007281609
ECHS1,0.00083480653,0.0008220349,0.00077395584,0.0008419764,0.0008162508,0.00089932006
HADHA,0.0008289599,0.00078172237,0.00080752233,0.0008507791,0.00082763494,0.00081906404
NOS3,0.00082747685,0.00082345674,0.0008416786,0.000830332,0.0008027967,0.0008554001
TCF7,0.00082228205,0.0008462091,0.00082633825,0.00080884295,0.0007417477,0.0009944874
ITPR1,0.00082156237,0.00086666725,0.0008412289,0.0008083239,0.0008088601,0.0008190457
SMAD2,0.00082089053,0.00080366427,0.00080315873,0.00082904176,0.00081319176,0.0008368397
CXCL8,0.00081908674,0.00088971533,0.0008793691,0.00079312606,0.00080267864,0.0008137413
SMAD3,0.00081036834,0.0007591147,0.00077167165,0.0008253389,0.0008031922,0.0008654276
AGPAT1,0.0008021772,0.0007691671,0.0008611512,0.00082381075,0.0007739388,0.0007598436
TCF7L1,0.0008012809,0.0011020105,0.00073326525,0.00071399275,0.00067878247,0.0009939999
NFKBIB,0.00079954794,0.00076512684,0.00079270423,0.00080798095,0.0008047189,0.000812344
ITPR3,0.00079384935,0.0008836213,0.0008267026,0.0007571225,0.0008044068,0.0007795602
HPD,0.000788985,0.00077565113,0.0007871108,0.00079121167,0.0008297897,0.00072686875
PHOSPHO2,0.0007888176,0.0008893556,0.00081456604,0.0007497019,0.0007660737,0.0008345776
MPST,0.00078671944,0.00077649823,0.00078162726,0.0007944644,0.00075494737,0.00082785625
HK3,0.00078135007,0.0008106976,0.00073131506,0.00077835564,0.0007480777,0.000843166
MAP2K4,0.0007766557,0.00075553753,0.0007576552,0.0007814776,0.00078304746,0.0007910728
MAP2K6,0.0007749851,0.000758364,0.00076286355,0.00078418665,0.00076521403,0.0007843338
DGAT1,0.0007748385,0.0008146989,0.00078370125,0.00079636567,0.0008137542,0.0005181581
HEXB,0.00077269477,0.0007156692,0.0008237058,0.0007743171,0.0007897139,0.0007954184
TST,0.0007719644,0.00073018216,0.0007742119,0.00078920915,0.00073935324,0.00081634993
GNA11,0.00077184656,0.0007799996,0.0007737576,0.00077008514,0.00074645184,0.00081211835
HEXA,0.0007674815,0.00074184936,0.0007787082,0.00077335397,0.0007597638,0.00078862504
ACP1,0.00076415116,0.00066209264,0.00076398725,0.00079503027,0.000754003,0.00080492895
DDB2,0.0007558566,0.0006873116,0.00070675096,0.0007726854,0.00076078554,0.00081683556
SHC2,0.00075438415,0.0006970183,0.0007334461,0.00078281,0.00073197606,0.00076739455
PCYT1B,0.0007540522,0.00072645507,0.0007648731,0.0007639465,0.0007963455,0.000666093
SHC4,0.0007531182,0.0011260379,0.00063632784,0.00068025215,0.0006513512,0.0007441572
UGDH,0.00075041904,0.0007047475,0.0007967235,0.0007738473,0.00072746124,0.00072051794
SLC2A5,0.00074959546,0.00080218154,0.00083976093,0.00072202465,0.0007644931,0.00070424547
FGFR3,0.00074595696,0.00045926907,0.0004300152,0.00093013735,0.000775705,0.00048932526
EHHADH,0.00074517465,0.00069830567,0.0007178955,0.00076170004,0.00075163075,0.00075123383
TCF7L2,0.00074464054,0.00080675026,0.0006805707,0.0007081995,0.00067682477,0.0009924232
NFATC1,0.00073797937,0.00075185514,0.00067175215,0.0007493309,0.000690252,0.0007927621
MAP3K7,0.0007341758,0.0007365384,0.00073457666,0.00073385687,0.00073447067,0.0007308319
PTK2,0.0007323147,0.0007208628,0.00072631537,0.00074053864,0.00072530465,0.0007280434
PNPO,0.00073187303,0.0008153115,0.0007820889,0.0007117241,0.00062210695,0.0008547993
NAT1,0.00072914566,0.0009208864,0.0009629928,0.0005845929,0.000738738,0.0009378752
ITGAL,0.00072898,0.00074810826,0.0006782189,0.00071265694,0.00070912024,0.0008516837
PLAAT2,0.0007282356,0.0006237213,0.0007947851,0.00074743695,0.0007926127,0.0006460513
B4GALT1,0.00072125293,0.00069250114,0.0006852117,0.00072966225,0.0007195281,0.00075823
HK2,0.00071907113,0.000710445,0.0006917054,0.00071831414,0.00071718945,0.0007612707
CHRM3,0.0007172237,0.0012558897,0.00061236,0.0006072954,0.00060147827,0.00062378723
PDHB,0.0007171286,0.0007246559,0.00070836366,0.0007187603,0.00070309534,0.0007280765
GNG12,0.0007170206,0.0007304847,0.0007186869,0.0007131702,0.00072725734,0.00069285964
MAP3K14,0.00071532914,0.00074628025,0.00070091663,0.0007146971,0.0006987479,0.00070569094
PAK1,0.0007137238,0.0007147525,0.00071105175,0.0007114627,0.00070237013,0.0007462932
BRCA2,0.00071261683,0.0008054962,0.0008147304,0.0006501949,0.00083613355,0.00056356593
AKR1B15,0.0007124878,0.000696262,0.0006685003,0.00071888237,0.00073282584,0.00070276496
GNG11,0.000711107,0.0007128725,0.000708382,0.00071447296,0.00071662007,0.0006828009
GNG4,0.0007111018,0.0007198724,0.0007036717,0.00070840283,0.000715232,0.0007072032
GNG2,0.00071103056,0.00070867327,0.00070572976,0.00071348844,0.00071607134,0.0006972444
ST3GAL1,0.00070896395,0.0006144886,0.0007897443,0.00071815506,0.00079950935,0.0006011388
B4GALT2,0.00070835947,0.00060730847,0.0006934551,0.00073268166,0.00071863894,0.0007534313
PDHA1,0.0007060838,0.0007081231,0.000713053,0.00069740514,0.00072778936,0.00070117833
PLPP2,0.00070494355,0.0006484745,0.00066204485,0.0007115908,0.0007592905,0.00070041005
SHC1,0.0007049022,0.00066999823,0.0007041026,0.0007183076,0.00069591205,0.0007152221
CHPT1,0.00070406887,0.0007084829,0.00074501743,0.0007016602,0.00071130507,0.0006654433
PLA2G6,0.00070389715,0.00070608885,0.00067154743,0.000707378,0.00069645036,0.0007197371
PPP2CA,0.00070382154,0.0006413251,0.0006791726,0.0007204103,0.0007328587,0.0006931295
CDK1,0.00070345966,0.0008799504,0.000935371,0.0005990604,0.00096962746,0.00026273096
ADH5,0.00070055056,0.0007007791,0.000689032,0.00069782673,0.0007013084,0.0007208724
MMUT,0.00069884374,0.0007237274,0.00067479507,0.0006980518,0.00067951897,0.000712656
POLK,0.00069649966,0.0006340502,0.0006536039,0.0007113494,0.0006867448,0.00077950495
PRKAA2,0.00069513626,0.00067455467,0.000683698,0.0007022495,0.00070170796,0.0006912188
DAG1,0.0006941652,0.00061927293,0.00070956396,0.0007168303,0.0007546235,0.00058720715
IRS2,0.00069370767,0.0006764702,0.0007345539,0.0006995333,0.00070738344,0.000639384
B3GAT3,0.0006923068,0.00067298,0.0006753982,0.00069267274,0.0007586882,0.0006136464
AKR1B10,0.0006911537,0.0006932707,0.00058423885,0.0007013013,0.00070783857,0.00068290497
GNG5,0.00069024216,0.0006987736,0.00069066277,0.00069121434,0.0006792099,0.00069055666
PRKCD,0.0006889063,0.00068768486,0.0006982346,0.0006886955,0.00068326376,0.0006957671
MAP2K3,0.00068864657,0.0006706909,0.00067662576,0.0006968463,0.00068105257,0.0007012859
TGFB1,0.0006884467,0.0006685428,0.0006876784,0.00070577225,0.0006752976,0.0006604753
PPP1CA,0.00068347075,0.0006715114,0.00072673167,0.0006788123,0.0007253806,0.0006189515
PLA2G2C,0.0006811085,0.0005952483,0.00064824487,0.0007445182,0.0006427463,0.00060517987
GNB5,0.00067997695,0.0006915044,0.00068127457,0.00067703,0.0006826412,0.00066890323
AKR1B1,0.0006799283,0.00064384576,0.0006851581,0.00068855146,0.00070665224,0.0006460357
HK1,0.0006783471,0.00067050237,0.0006640146,0.0006828384,0.00067433814,0.00068714697
GNB4,0.00067765237,0.00068580714,0.0006725245,0.0006779483,0.0006747899,0.0006709578
