label,global,basal,her2,lumA,lumB,norm
path:hsa04211,0.00501108,0.004358256,0.004655942,0.0054405564,0.005480381,0.0033686839
path:hsa05410,0.005004172,0.0047526,0.0058525363,0.004941121,0.0057370993,0.003790194
path:hsa01521,0.0049953097,0.0049895337,0.005566096,0.005035192,0.0056564827,0.003166759
path:hsa05217,0.0049674953,0.004922831,0.0052348915,0.005016707,0.005369347,0.0038593686
path:hsa05150,0.0049157776,0.003837267,0.0050995788,0.0052731666,0.0051497323,0.0044239922
path:hsa04960,0.0048614307,0.0038487772,0.0035482948,0.0055183554,0.004649724,0.0046518
path:hsa04972,0.0048614033,0.0055628163,0.004764663,0.0047843964,0.0051613436,0.0035431657
path:hsa00220,0.004859466,0.0041457084,0.0051875636,0.0052624214,0.005003931,0.0035622893
path:hsa04916,0.0048359446,0.00412653,0.005230805,0.0048706275,0.006174155,0.0031358036
path:hsa04933,0.0047674435,0.00498769,0.005469255,0.0046366216,0.0053177215,0.0035174843
path:hsa04152,0.004709288,0.0036880758,0.0038501075,0.005013415,0.004218551,0.006483992
path:hsa05412,0.0046988786,0.003937085,0.0054440084,0.0048196726,0.0053178696,0.003730992
path:hsa05214,0.004687685,0.0049589863,0.005205659,0.004485379,0.005547647,0.0032705236
path:hsa04066,0.004650973,0.004782704,0.0052256435,0.0046839006,0.0050885966,0.0030284952
path:hsa04923,0.00453391,0.0033345928,0.0033494653,0.0049907304,0.00392408,0.0063038818
path:hsa04976,0.004505718,0.0036123176,0.003988364,0.0049573444,0.004582024,0.0040154015
path:hsa04080,0.004416619,0.0031725927,0.0031589374,0.004664457,0.0033619802,0.00819637
path:hsa04024,0.0044022063,0.0046988884,0.0049474,0.0042699436,0.0050555095,0.0029493752
path:hsa05144,0.0043915235,0.0056693368,0.004367937,0.004212823,0.004180984,0.003473356
path:hsa00563,0.0043730806,0.0038236305,0.003521475,0.0049437303,0.004058029,0.003648102
path:hsa05208,0.004359995,0.004284656,0.004496878,0.004348106,0.0052051465,0.0028889081
path:hsa05332,0.004331007,0.0052298508,0.004414508,0.0041097547,0.0040320163,0.0043744138
path:hsa05330,0.004329612,0.004870095,0.0044346624,0.004057984,0.004628323,0.004131198
path:hsa00120,0.004274785,0.0046652504,0.0046069254,0.0039639133,0.0054058726,0.002831859
path:hsa04371,0.004219862,0.004478837,0.004799185,0.003994788,0.00504354,0.0029618435
path:hsa05030,0.0042197015,0.0041007814,0.004738514,0.00417378,0.004949839,0.0029321518
path:hsa05146,0.004206028,0.004247691,0.004167507,0.0042476677,0.004723148,0.0029944875
path:hsa04917,0.0042039435,0.004326653,0.004970657,0.004035932,0.0049053235,0.002985374
path:hsa00564,0.0041614687,0.004679488,0.0046644844,0.003948151,0.004628838,0.0031068309
path:hsa05322,0.0041388236,0.004682427,0.00436919,0.00387756,0.0043028346,0.0040408154
path:hsa05143,0.0040222425,0.004478349,0.003401262,0.00400511,0.0041164765,0.003590001
path:hsa04970,0.004018067,0.0034430816,0.0033599483,0.0043759304,0.0032412964,0.0051263836
path:hsa04390,0.004006666,0.0033499913,0.004237403,0.0038598757,0.005173306,0.0035680367
path:hsa04670,0.0039924094,0.004287428,0.0039746594,0.003832253,0.0045837583,0.0032065264
path:hsa04620,0.0039908458,0.003825108,0.0037085777,0.0040592523,0.0041265544,0.0038879614
path:hsa04060,0.003985458,0.0036572963,0.0034971295,0.004065496,0.004287922,0.003948022
