embed_dim,num_heads,aggregate,config,metric,mean,sd,ci
128,2,concat,embeddim128_numheads2_aggregateConcat,r2,0.777222466468811,0.007410234396400085,0.00920102126826118
128,2,concat,embeddim128_numheads2_aggregateConcat,rmse,0.9229049801826477,0.017723572994884626,0.022006722507284773
128,2,concat,embeddim128_numheads2_aggregateConcat,time,63.26135809570551,19.01613150099208,23.61164586989042
128,2,mean,embeddim128_numheads2_aggregateMean,best_epoch,118.4,14.363147287415803,17.83420288768229
128,2,mean,embeddim128_numheads2_aggregateMean,kld,82.87284851074219,5.134270720779734,6.375039111023898
128,2,mean,embeddim128_numheads2_aggregateMean,loss,7.9381226062774655,0.07316563686165277,0.09084713719676486
128,2,mean,embeddim128_numheads2_aggregateMean,mae,0.5748334288597107,0.01712483262512405,0.02126328814588184
128,2,mean,embeddim128_numheads2_aggregateMean,mse,0.874885904788971,0.04946873300419935,0.061423544808068775
128,2,mean,embeddim128_numheads2_aggregateMean,nb,7.946318817138672,0.0923757892340505,0.1146996917975795
128,2,mean,embeddim128_numheads2_aggregateMean,num_epochs,153.0,22.079402165819616,27.415198771160487
128,2,mean,embeddim128_numheads2_aggregateMean,r2,0.7712453365325928,0.012064612860412584,0.014980195441040458
128,2,mean,embeddim128_numheads2_aggregateMean,rmse,0.9350520372390747,0.02654242768671677,0.03295677688352311
128,2,mean,embeddim128_numheads2_aggregateMean,time,48.66211336106062,5.409014434954266,6.7161784896472
128,4,concat,embeddim128_numheads4_aggregateConcat,best_epoch,136.0,10.653637876331258,13.228238600940553
128,4,concat,embeddim128_numheads4_aggregateConcat,kld,76.89545440673828,5.289422189493982,6.567685103994818
128,4,concat,embeddim128_numheads4_aggregateConcat,loss,7.934650945663452,0.08178394426705084,0.10154817922750044
128,4,concat,embeddim128_numheads4_aggregateConcat,mae,0.565308678150177,0.013525402450611375,0.01679400528414113
128,4,concat,embeddim128_numheads4_aggregateConcat,mse,0.8514183163642883,0.03516123637894822,0.043658441344072575
128,4,concat,embeddim128_numheads4_aggregateConcat,nb,7.946978187561035,0.10433833328159584,0.12955315206834347
128,4,concat,embeddim128_numheads4_aggregateConcat,num_epochs,174.8,8.012490249604056,9.948820678892062
128,4,concat,embeddim128_numheads4_aggregateConcat,r2,0.7773600578308105,0.008687560448070952,0.010787031040588674
128,4,concat,embeddim128_numheads4_aggregateConcat,rmse,0.9225650191307068,0.01910795898210321,0.023725664747231846
128,4,concat,embeddim128_numheads4_aggregateConcat,time,54.87808288559317,2.351586045151761,2.919879730943318
128,4,mean,embeddim128_numheads4_aggregateMean,best_epoch,117.0,10.954451150103322,13.601747613165138
